Name,T2G,ATG,Prox,SGP,SGT,Scramble,DD,OFT,Approach,SS,GIR,DA,hole
Bud Cauley,51,1,99,102,56,36,105,192,65,66,138,112,/images/1.jpg
Byeong Hun An,6,2,164,204,34,190,9,11,50,25,91,101,/images/2.jpg
Tom Lovelady,11,3,20,215,121,61,29,15,95,134,92,210,/images/3.jpg
Aaron Baddeley,101,4,160,45,72,7,158,184,150,24,134,135,/images/4.jpg
Louis Oosthuizen,47,5,106,131,62,18,50,65,154,32,90,32,/images/5.jpg
Brandt Snedeker,85,6,174,11,37,59,154,175,132,35,173,94,/images/6.jpg
Tiger Woods,8,7,37,78,6,68,43,67,17,210,3,53,/images/7.jpg
Ian Poulter,35,8,121,108,38,79,95,48,101,23,18,17,/images/8.jpg
Si Woo Kim,70,9,131,29,41,14,103,153,110,74,121,147,/images/9.jpg
Justin Thomas,3,10,78,88,3,112,44,38,4,60,9,129,/images/10.jpg
Tyrrell Hatton,78,11,195,142,97,209,62,98,156,30,136,121,/images/11.jpg
Bill Haas,110,12,184,119,125,64,159,152,166,107,211,166,/images/12.jpg
Webb Simpson,29,13,73,89,31,12,175,139,22,9,58,33,/images/13.jpg
Stephan Jaeger,156,14,206,124,157,52,94,181,185,41,191,179,/images/14.jpg
Kevin Na,103,15,183,179,150,162,79,196,96,100,139,126,/images/15.jpg
Matt Wallace,36,16,188,40,24,73,24,69,74,97,205,161,/images/16.jpg
Tommy Fleetwood,5,17,176,99,5,4,41,4,39,4,67,84,/images/17.jpg
Brian Harman,129,18,169,123,141,95,188,41,209,21,213,42,/images/18.jpg
Charles Howell III,34,19,177,17,8,39,49,34,87,154,2,58,
Cameron Smith,58,20,94,19,30,54,68,188,37,39,129,131,
Hideki Matsuyama,2,21,61,182,9,2,17,29,2,45,25,149,
Troy Merritt,83,22,41,66,67,144,72,123,139,51,43,57,
Kevin Tway,53,23,156,146,79,22,21,89,102,105,85,170,
Rory McIlroy,1,24,31,56,1,143,4,1,11,50,13,130,
Chad Collins,208,25,212,57,193,152,214,213,202,31,201,156,
Sebastián Muñoz,87,26,81,185,142,154,76,91,158,123,143,115,
Paul Casey,12,27,115,183,36,114,82,12,43,164,21,7,
Zach Johnson,49,28,59,121,59,24,179,163,36,76,161,76,
Dustin Johnson,4,29,139,14,2,28,28,14,7,6,30,199,
Chris Kirk,64,30,100,195,132,149,181,164,49,33,105,88,
Stewart Cink,190,31,186,23,136,180,110,208,167,44,79,171,
Brian Stuard,99,32,72,68,80,31,207,180,85,58,175,18,
Patrick Cantlay,10,33,63,87,11,15,6,25,27,179,17,180,
Jhonattan Vegas,28,34,165,106,33,13,32,10,98,161,39,159,
Lucas Glover,17,35,26,79,13,3,90,45,19,72,10,46,
Jason Dufner,141,36,25,212,197,204,174,140,180,77,32,102,
Sungjae Im,18,37,65,107,19,51,81,22,35,168,49,63,
Seamus Power,207,38,205,141,206,185,116,147,213,52,214,176,
Wes Roach,128,39,88,122,139,69,140,119,181,211,127,69,
Matt Kuchar,14,40,34,140,26,27,123,63,9,17,1,5,
Rod Pampling,209,41,215,214,214,183,180,150,212,118,215,109,
Gary Woodland,7,42,43,149,17,147,12,7,32,177,6,40,
Hank Lebioda,48,43,46,192,104,199,129,73,78,198,86,60,
Wyndham Clark,133,44,192,20,75,128,5,60,204,57,141,189,
Jimmy Walker,122,45,171,181,165,155,69,170,138,122,166,198,
Roberto Castro,50,46,15,126,63,37,193,173,20,196,69,75,
Matt Every,102,47,44,74,84,165,132,72,170,28,66,61,
Jim Furyk,21,48,10,52,10,10,211,83,8,98,15,1,
Andrew Putnam,166,49,159,9,85,75,195,207,105,20,20,95,
Justin Rose,26,50,36,34,14,6,31,61,31,12,151,104,
Patrick Reed,109,51,196,32,74,126,86,127,149,78,160,194,
Adam Svensson,60,52,24,165,93,133,165,136,45,96,125,108,
Russell Knox,30,53,4,174,55,113,106,104,14,43,53,96,
Jonathan Byrd,84,54,6,61,66,1,200,199,28,137,133,105,
Matt Jones,61,55,179,75,50,50,92,27,151,55,154,98,
Brian Gay,170,56,128,3,76,97,212,161,192,159,180,4,
Josh Teater,77,57,19,196,146,103,166,135,66,206,56,81,
Francesco Molinari,91,58,129,24,46,77,127,103,135,5,195,64,
Alex Noren,186,59,207,211,209,198,19,191,188,163,82,182,
Matthew Fitzpatrick,32,60,138,60,22,156,139,33,52,101,183,62,
Ryan Moore,37,61,48,47,27,127,173,88,33,109,89,11,
James Hahn,94,62,40,190,153,179,124,106,133,54,8,47,
Ryan Armour,86,63,14,97,86,20,204,105,120,63,75,2,
Harris English,157,64,148,41,112,119,54,169,153,53,126,154,
Phil Mickelson,44,65,101,116,52,83,25,66,58,129,63,209,
Kramer Hickok,81,66,83,205,159,138,162,40,161,136,120,26,
Mackenzie Hughes,148,67,178,180,174,101,108,142,163,135,200,205,
Scott Langley,198,68,67,13,148,105,215,206,183,91,164,22,
Robert Streb,123,69,84,159,154,91,151,176,111,188,159,137,
Corey Conners,15,70,2,199,48,140,100,19,26,113,5,44,
Peter Malnati,124,71,123,31,81,40,147,193,77,95,197,204,
Martin Trainer,144,72,208,176,170,132,26,54,206,47,187,201,
Xander Schauffele,13,73,175,21,4,19,34,28,15,40,23,116,
Ernie Els,105,74,58,51,77,17,197,118,140,2,57,55,
Julián Etulain,132,75,116,16,68,26,128,158,143,130,169,195,
Ollie Schniederjans,171,76,132,95,162,142,11,141,198,42,198,214,
Michael Kim,211,77,80,118,210,196,210,215,144,73,196,193,
Kyle Jones,173,78,79,154,186,124,196,167,184,200,182,31,
Charl Schwartzel,201,79,197,49,177,88,107,214,83,61,179,207,
Keith Mitchell,23,80,167,175,45,160,58,9,48,93,35,163,
Patrick Rodgers,89,81,126,38,57,167,53,87,129,150,165,175,
Luke List,16,82,120,130,23,176,3,5,38,86,51,173,
Peter Uihlein,191,83,187,65,161,182,83,166,197,92,128,212,
Aaron Wise,92,84,200,144,119,192,27,32,172,160,55,144,
Sung Kang,74,85,119,82,64,53,75,109,68,29,147,124,
J.B. Holmes,52,86,142,86,47,118,48,79,56,36,29,192,
Rory Sabbatini,107,87,155,103,113,125,131,75,159,87,144,107,
Cody Gribble,205,88,150,198,211,214,156,202,201,199,208,186,
Brooks Koepka,45,89,180,151,73,177,16,62,51,59,54,117,
Graeme McDowell,161,90,151,15,83,38,152,174,146,34,96,35,
Shawn Stefani,160,91,118,163,173,100,111,177,145,67,124,153,
Chris Stroud,175,92,141,77,158,60,155,210,94,121,184,188,
Nick Watney,118,93,68,84,110,141,70,132,134,124,50,123,
C.T. Pan,154,94,140,153,167,116,176,115,176,69,122,50,
Anirban Lahiri,189,95,182,71,164,9,120,187,178,13,202,136,
D.J. Trahan,19,96,49,127,25,23,35,18,18,153,4,167,
Jason Day,42,97,194,5,7,85,55,6,125,90,28,77,
Scott Piercy,75,98,62,137,91,55,145,51,124,172,22,14,
Bubba Watson,24,99,203,166,44,43,2,3,90,128,88,143,
Joel Dahmen,65,100,57,157,96,72,115,58,91,82,78,16,
Nate Lashley,71,101,5,28,39,80,182,162,29,176,24,56,
Martin Piller,215,102,210,4,198,108,203,209,211,144,209,162,
Rickie Fowler,66,103,153,7,21,166,33,84,64,75,40,118,
Bryson DeChambeau,33,104,133,39,18,78,39,8,70,103,98,29,
Jon Rahm,20,105,122,64,12,89,22,2,62,141,60,91,
Fabián Gómez,90,106,21,134,111,32,160,56,148,115,44,21,
John Senden,159,107,152,171,176,175,191,186,126,120,37,150,
Beau Hossler,155,108,209,37,106,134,71,114,173,71,73,120,
Tyrone Van Aswegen,180,109,1,203,201,21,143,212,55,3,115,148,
Martin Laird,152,110,166,72,131,169,99,144,152,146,42,164,
